episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
1590,3,false,25,-8.3333,0.853075,0.1300,21.96,9.4878,125,4,0.0833
1600,3,false,25,-5.4167,0.852222,0.1300,21.92,9.4793,126,4,0.0417
1610,3,false,25,-5.4167,0.851370,0.1600,21.22,12.5565,129,4,0.1250
1620,3,false,25,-4.5833,0.850519,0.1600,21.24,12.7212,130,4,0.2083
1630,3,false,25,-3.7500,0.849669,0.1600,21.24,12.9003,130,4,0.0417
1640,3,true,1,100.0000,0.848820,0.1500,21.46,11.9815,132,4,1.0000
1650,3,false,25,-4.1667,0.847972,0.1300,21.92,9.8502,133,4,0.0833
1660,3,false,25,-2.0833,0.847124,0.1400,21.68,10.8043,134,4,0.2083
1670,3,true,1,100.0000,0.846362,0.1500,21.52,11.8297,138,4,0.3333
1680,3,false,25,-2.9167,0.845516,0.1400,21.76,10.8172,138,4,0.1250
1690,3,true,3,94.8000,0.844586,0.1600,21.32,12.8340,141,4,0.3333
1700,3,false,25,-5.4167,0.843742,0.1500,21.56,11.8507,141,4,0.1250
1710,3,false,25,-2.9167,0.842899,0.1300,22.02,9.7985,142,4,0.1667
1720,3,false,25,-2.9167,0.842056,0.1400,21.90,10.8907,144,4,0.1667
1730,3,false,25,-1.2500,0.841214,0.1400,21.90,10.8198,144,4,0.3333
1740,3,false,25,-5.0000,0.840374,0.1300,22.14,9.7573,145,4,0.4167
1750,3,false,25,-4.1667,0.839534,0.1200,22.38,8.6948,145,4,0.1667
1760,3,false,25,-2.5000,0.838694,0.1200,22.50,8.7995,146,4,0.2083
1770,3,true,3,94.8000,0.837856,0.1100,22.68,7.6638,149,4,0.3333
1780,3,false,25,-4.5833,0.837102,0.1400,22.00,10.7265,152,4,0.2083
1790,3,false,25,-4.1667,0.836182,0.1300,22.26,9.7453,154,4,0.4167
1800,3,false,25,-5.4167,0.835346,0.1400,22.02,10.8745,155,4,0.0833
1810,3,false,25,-5.0000,0.834511,0.1500,21.78,11.8828,157,4,0.1250
1820,3,false,25,-4.1667,0.833677,0.1400,21.90,10.7657,158,4,0.2083
1830,3,false,25,-2.5000,0.832844,0.1500,21.68,11.7970,159,4,0.2083
1840,3,true,1,100.0000,0.832011,0.1500,21.68,11.7512,160,4,0.3333
1850,3,false,25,-3.3333,0.831263,0.1900,20.74,16.0742,164,4,0.2083
1860,3,false,25,-1.6667,0.830349,0.1900,20.62,16.1737,165,4,0.2917
1870,3,false,25,-2.9167,0.829519,0.1800,20.86,15.1487,167,4,0.1250
1880,3,false,25,-3.7500,0.828690,0.1800,20.82,15.0277,170,4,0.2500
1890,3,false,25,-3.3333,0.827861,0.1600,21.24,13.0295,170,4,0.1250
1900,3,true,1,100.0000,0.827034,0.1600,21.24,12.8878,171,4,1.0000
1910,3,false,25,-7.9167,0.826290,0.1600,21.24,12.7837,173,4,0.1250
1920,3,false,25,-1.2500,0.825381,0.1700,21.00,13.8462,175,4,0.3333
1930,3,false,25,-1.6667,0.824639,0.1700,21.02,13.9983,176,4,0.2500
1940,3,false,25,-7.9167,0.823732,0.1600,21.26,12.8900,176,4,0.0417
1950,3,false,25,-1.6667,0.822909,0.1300,21.96,9.6503,177,4,0.4167
1960,3,false,25,-7.5000,0.822251,0.1200,22.20,8.3712,177,4,0.1667
1970,3,false,25,-6.6667,0.821265,0.1000,22.66,6.2607,177,4,0.1667
1980,3,false,25,-2.5000,0.820608,0.0700,23.38,3.2940,177,4,0.2083
1990,3,true,1,100.0000,0.819624,0.0900,22.92,5.3003,179,4,0.3333
2000,3,true,5,102.5167,0.818886,0.0900,22.96,5.3505,180,4,1.0000
2010,3,false,25,-3.3333,0.817986,0.1000,22.72,6.5297,183,4,0.1250
2020,3,true,7,101.9000,0.817168,0.0900,23.00,5.5257,184,4,0.3333
2030,3,false,25,-3.3333,0.816433,0.0900,22.96,5.3963,185,4,0.2083
2040,3,true,3,102.7167,0.815617,0.1300,22.06,9.7653,189,4,1.0000
2050,3,false,25,-4.5833,0.814720,0.1400,21.84,10.8133,191,4,0.0000
2060,3,false,25,-4.5833,0.813906,0.1400,21.84,11.0425,191,4,0.1667
2070,3,false,25,-5.8333,0.813255,0.1500,21.60,12.1467,192,4,0.2500
2080,3,false,25,-3.7500,0.812280,0.1600,21.36,13.1342,193,4,0.0833
2090,3,false,25,-7.9167,0.811549,0.1500,21.58,12.0528,194,4,0.1250
2100,3,true,3,99.8000,0.810657,0.1700,21.08,14.1298,197,4,0.3333
2110,3,false,25,-3.7500,0.809928,0.1500,21.58,12.0945,198,4,0.2917
2120,3,false,25,-6.2500,0.809037,0.1400,21.76,10.9880,198,4,0.2917
2130,3,false,25,-6.6667,0.808228,0.1300,22.00,9.9838,198,4,0.1667
2140,3,false,25,-2.0833,0.807582,0.0900,22.90,5.8648,198,4,0.2500
2150,3,false,25,-5.0000,0.806613,0.0800,23.12,4.8085,199,4,0.0417
2160,3,false,25,-2.9167,0.805888,0.0800,23.12,4.7210,199,4,0.3750
2170,3,false,25,-7.9167,0.805082,0.1000,22.68,6.9128,202,4,0.1250
2180,3,false,25,-2.0833,0.804197,0.1200,22.24,9.0797,205,4,0.2083
2190,3,false,25,-7.5000,0.803474,0.1300,22.02,10.1443,207,4,0.1667
2200,3,false,25,-2.9167,0.802670,0.1300,22.12,10.1010,210,4,0.3333
2210,3,false,25,-5.0000,0.801868,0.1300,22.10,10.0780,211,4,0.4167
2220,3,false,25,-6.2500,0.800987,0.1400,21.86,11.0363,212,4,0.2917
